sample,DDX11L1,WASH7P,MIR6859-1,MIR1302-2HG,FAM138A,OR4G4P,OR4G11P,OR4F5,RP11-34P13.7,CICP27,tissue_type
GTEX-13OVH-2926-SM-5IJFH,0.0,10.48,0.0,0.0,0.0,0.0,0.0,0.04952,0.0221,0.1313,Cerebellum 
GTEX-13OVH-3026-SM-5MR4N,0.0,3.55,0.0,0.03974,0.0,0.04097,0.036610000000000004,0.0,0.05019,0.019880000000000002,Cortex 
GTEX-13OVJ-0011-R10b-SM-5L3HT,0.026180000000000002,4.329,0.0,0.0,0.0,0.1078,0.0,0.1972,0.198,0.013069999999999998,Frontal Cortex (BA9) 
GTEX-13OVJ-0011-R11a-SM-5P9H8,0.126,12.27,0.0,0.0,0.0,0.0,0.0,0.1899,0.1907,0.2518,Cerebellar Hemisphere 
GTEX-13OVJ-0011-R1b-SM-5L3I6,0.04958,4.745,0.0,0.0,0.0,0.1531,0.0456,0.09337999999999999,0.2917,0.01238,Hippocampus 
GTEX-13OVJ-0011-R2b-SM-5L3GP,0.02165,2.367,0.0,0.0,0.0,0.0,0.03982,0.3262,0.1092,0.02162,Substantia nigra 
GTEX-13OVJ-0011-R4b-SM-5P9H5,0.0,2.5340000000000003,0.0,0.0,0.0,0.05527000000000001,0.0,0.3287,0.316,0.114,Amygdala 
GTEX-13OVJ-0011-R5a-SM-5P9H7,0.0,3.4619999999999997,0.0,0.05803,0.0,0.029910000000000003,0.05346,0.1095,0.1954,0.043539999999999995,Caudate (basal ganglia) 
GTEX-13OVJ-0011-R6b-SM-5L3GH,0.0453,3.303,0.0,0.0,0.0,0.0,0.0,0.128,0.4379,0.022619999999999998,Nucleus accumbens (basal ganglia) 
GTEX-13OVJ-0011-R7a-SM-5L3G1,0.04208,3.452,0.0,0.042010000000000006,0.0,0.0,0.0774,0.2774,0.08842,0.04203,Putamen (basal ganglia) 
GTEX-13OVJ-0011-R8b-SM-5L3FS,0.0,3.1460000000000004,0.0,0.0,0.0,0.0,0.03644,0.2239,0.1166,0.0,Hypothalamus 
GTEX-13OVJ-0011-R9b-SM-5L3GD,0.0,3.8989999999999996,0.0,0.0,0.0,0.0,0.0,0.1437,0.1122,0.01905,Spinal cord (cervical c-1) 
GTEX-13OVJ-2726-SM-5IJG6,0.0,10.28,0.0,0.0515,0.0,0.05309,0.09489,0.04858,0.1084,0.1417,Cerebellum 
GTEX-13OVJ-2826-SM-5L3GW,0.0,3.8680000000000003,0.0,0.0,0.03665,0.0,0.04752,0.146,0.2389,0.0,Cortex 
GTEX-13OVL-0011-R10a-SM-5L3GS,0.0,0.7649,0.0,0.0,0.0,0.0,0.043230000000000005,0.04426,0.05926,0.04695,Frontal Cortex (BA9) 
GTEX-13OVL-0011-R11b-SM-5L3G7,0.0,3.515,0.7543,0.05923,0.0,0.0,0.05457000000000001,0.0,0.0,0.04445,Cerebellar Hemisphere 
GTEX-13OVL-0011-R1a-SM-5L3H5,0.02207,1.6380000000000001,0.0,0.0,0.06258999999999999,0.04542,0.1218,0.2078,0.01855,0.02204,Hippocampus 
GTEX-13OVL-0011-R3b-SM-5L3I8,0.04034,1.234,0.0,0.04027,0.0,0.08304,0.0371,0.0,0.01695,0.02015,Anterior cingulate cortex (BA24) 
GTEX-13OVL-0011-R4b-SM-5L3HV,0.0,0.9812,0.0,0.0,0.0,0.0,0.03961,0.08111,0.0,0.0,Amygdala 
GTEX-13OVL-0011-R5b-SM-5L3FU,0.0,0.8881,0.0,0.0,0.0,0.03695,0.0,0.1352,0.0,0.0,Caudate (basal ganglia) 
GTEX-13OVL-0011-R6a-SM-5L3G4,0.0,0.6128,0.0,0.0,0.0,0.044039999999999996,0.0,0.08059,0.0,0.0,Nucleus accumbens (basal ganglia) 
GTEX-13OVL-0011-R7a-SM-5P9GW,0.0,0.4423,0.0,0.022609999999999998,0.0,0.04662,0.125,0.08531,0.0,0.0,Putamen (basal ganglia) 
GTEX-13OVL-0011-R8a-SM-5L3HH,0.01703,0.8645,0.0,0.0,0.02415,0.03505,0.06264,0.1283,0.0,0.0,Hypothalamus 
GTEX-13OVL-0011-R9a-SM-5P9GX,0.01879,2.031,0.0,0.03752,0.02665,0.0,0.1037,0.1062,0.015790000000000002,0.01877,Spinal cord (cervical c-1) 
GTEX-13OVL-3026-SM-5IJF1,0.025419999999999998,2.813,0.0,0.0,0.03606,0.0,0.0,0.0,0.02137,0.02539,Cerebellum 
GTEX-13OW5-0011-R11b-SM-5L3GG,0.0,6.558,0.0,0.08311,0.0,0.0,0.1531,0.0,0.105,0.1247,Cerebellar Hemisphere 
GTEX-13OW5-0011-R1b-SM-5L3GE,0.0,4.96,0.0,0.051739999999999994,0.0,0.0,0.04767,0.0,0.0,0.01294,Hippocampus 
GTEX-13OW5-0011-R3a-SM-5L3I5,0.0,1.9280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.053360000000000005,0.02114,Anterior cingulate cortex (BA24) 
GTEX-13OW5-0011-R4b-SM-5L3HS,0.01844,2.089,0.0,0.0,0.0,0.03796,0.06784,0.1042,0.062,0.07368,Amygdala 
GTEX-13OW5-0011-R5b-SM-5L3FR,0.0,1.546,0.0,0.0,0.0,0.0,0.06154,0.0,0.02812,0.04178,Caudate (basal ganglia) 
GTEX-13OW5-0011-R6b-SM-5O9BW,0.01009,1.484,0.0,0.0,0.02862,0.08307,0.1113,0.057010000000000005,0.01696,0.015119999999999998,Nucleus accumbens (basal ganglia) 
GTEX-13OW5-0011-R7a-SM-5O9C9,0.010440000000000001,1.237,0.0,0.0,0.0,0.08594,0.096,0.1376,0.04387,0.005213000000000001,Putamen (basal ganglia) 
GTEX-13OW5-0011-R8a-SM-5L3GQ,0.0,2.1109999999999998,0.0,0.0,0.026739999999999996,0.0,0.03468,0.0,0.0,0.01883,Hypothalamus 
GTEX-13OW5-0011-R9b-SM-5O9CL,0.0,4.332,0.0,0.0,0.02325,0.06748,0.0603,0.09262000000000001,0.124,0.06548999999999999,Spinal cord (cervical c-1) 
GTEX-13OW5-3126-SM-5MR3Y,0.022969999999999997,4.187,0.0,0.0,0.0,0.04728,0.04225,0.0,0.057929999999999995,0.0,Cerebellum 
GTEX-13OW6-0011-R10a-SM-5L3HE,0.0,2.231,0.0,0.06455,0.0,0.0,0.02974,0.03045,0.0,0.008074,Frontal Cortex (BA9) 
GTEX-13OW6-0011-R11a-SM-5L3H2,0.08416,7.816,0.0,0.0,0.0,0.0,0.0,0.05284,0.02358,0.04203,Cerebellar Hemisphere 
GTEX-13OW6-0011-R1a-SM-5L3HQ,0.02366,2.773,0.0,0.04724,0.0,0.0,0.0,0.04457,0.01989,0.0,Hippocampus 
GTEX-13OW6-0011-R2a-SM-5L3HG,0.02458,2.08,0.0,0.04908,0.0,0.0,0.0,0.0,0.04133,0.0,Substantia nigra 
GTEX-13OW6-0011-R4a-SM-5O9DX,0.021480000000000003,1.16,0.0,0.08575,0.0,0.06631000000000001,0.158,0.2831,0.02708,0.01609,Amygdala 
GTEX-13OW6-0011-R5a-SM-5O9BK,0.0,1.939,0.0,0.026789999999999998,0.0,0.08286,0.07405,0.07582,0.01128,0.0,Caudate (basal ganglia) 
GTEX-13OW6-0011-R6b-SM-5L3GR,0.0,1.7619999999999998,0.0,0.0,0.0,0.0,0.1204,0.0,0.03669,0.0654,Nucleus accumbens (basal ganglia) 
GTEX-13OW6-0011-R7b-SM-5L3H4,0.0,2.3280000000000003,0.0,0.0,0.0,0.04601,0.0,0.0842,0.0,0.0,Putamen (basal ganglia) 
GTEX-13OW6-0011-R8a-SM-5L3GF,0.0,2.403,0.0,0.0,0.0,0.0,0.08592999999999999,0.08799,0.0,0.0,Hypothalamus 
GTEX-13OW6-2926-SM-5KM29,0.0335,6.412000000000001,0.0,0.0,0.0,0.06896000000000001,0.0,0.0631,0.0,0.0,Cerebellum 
GTEX-13OW6-3026-SM-5J2MI,0.0,2.847,0.0,0.09001,0.0,0.0464,0.041460000000000004,0.2547,0.07579,0.0,Cortex 
GTEX-13OW7-0011-R10a-SM-5L3H3,0.020069999999999998,3.972,0.0,0.0,0.02847,0.041319999999999996,0.03692,0.07561,0.05062,0.0,Frontal Cortex (BA9) 
GTEX-13OW7-0011-R11a-SM-5O9DY,0.0,5.932,0.0,0.03698,0.0,0.1144,0.034069999999999996,0.0,0.0467,0.0185,Cerebellar Hemisphere 
GTEX-13OW7-0011-R1b-SM-5L3HF,0.0,2.634,0.0,0.0,0.02928,0.04249,0.03797,0.03888,0.01735,0.0,Hippocampus 
GTEX-13OW7-0011-R3a-SM-5O9DA,0.0,1.2309999999999999,0.0,0.06512000000000001,0.0,0.06713,0.14,0.2662,0.07311000000000001,0.00543,Anterior cingulate cortex (BA24) 
GTEX-13OW7-0011-R4b-SM-5O9CX,0.0,1.246,0.0,0.038610000000000005,0.0,0.07961,0.2134,0.2368,0.032510000000000004,0.02415,Amygdala 
GTEX-13OW7-0011-R5b-SM-5O9DM,0.0,1.2409999999999999,0.0,0.01923,0.05464,0.03965,0.1063,0.1814,0.008095999999999999,0.02405,Caudate (basal ganglia) 
GTEX-13OW7-0011-R8b-SM-5L3HR,0.0,4.163,0.0,0.0,0.0,0.04635,0.04142,0.04241,0.0,0.01125,Hypothalamus 
GTEX-13OW7-2926-SM-5MR3Z,0.0,5.57,0.0,0.048530000000000004,0.0,0.0,0.08942,0.04578,0.0,0.01214,Cerebellum 
GTEX-13OW7-3026-SM-5L3GY,0.0,1.6369999999999998,0.0,0.0,0.0,0.0,0.0,0.04083,0.01822,0.0,Cortex 
GTEX-13OW8-0011-R10a-SM-5L3H6,0.02221,2.255,0.0,0.0,0.0,0.0,0.1225,0.251,0.01867,0.011090000000000001,Frontal Cortex (BA9) 
GTEX-13OW8-0011-R11a-SM-5L3GT,0.0,3.7489999999999997,0.0,0.0,0.0,0.0,0.0,0.05215,0.0,0.1521,Cerebellar Hemisphere 
GTEX-13OW8-0011-R1a-SM-5L3HI,0.0,0.8871,0.0,0.0,0.0,0.0,0.03057,0.1252,0.0,0.0249,Hippocampus 
GTEX-13OW8-0011-R2a-SM-5L3G2,0.03252,1.439,0.0,0.03246,0.02306,0.06692999999999999,0.1196,0.061239999999999996,0.0,0.0,Substantia nigra 
GTEX-13OW8-0011-R3a-SM-5L3I4,0.01852,1.953,0.0,0.0,0.0,0.0,0.03406,0.0,0.0,0.009248000000000001,Anterior cingulate cortex (BA24) 
GTEX-13OW8-0011-R4a-SM-9WG6V,0.0,1.094,0.0,0.0599,0.0,0.08234,0.1472,0.056510000000000005,0.02522,0.01998,Amygdala 
GTEX-13OW8-0011-R5b-SM-5L3FQ,0.01854,1.9069999999999998,0.0,0.0,0.0,0.0,0.0341,0.03492,0.03117,0.03703,Caudate (basal ganglia) 
GTEX-13OW8-0011-R6b-SM-5L3I3,0.0161,1.3,0.0,0.0,0.0,0.0,0.0,0.03032,0.01353,0.0402,Nucleus accumbens (basal ganglia) 
GTEX-13OW8-0011-R7a-SM-5L3FP,0.0,1.207,0.0,0.0,0.0,0.0289,0.025830000000000002,0.07934,0.0,0.02805,Putamen (basal ganglia) 
GTEX-13OW8-0011-R8a-SM-5L3G5,0.014669999999999999,1.146,0.0,0.0,0.0,0.0,0.026989999999999997,0.1382,0.0,0.04397,Hypothalamus 
GTEX-13OW8-2826-SM-5L3GC,0.0,2.793,0.0,0.04199,0.029830000000000002,0.0,0.03868,0.03961,0.0,0.105,Cortex 
GTEX-13OW8-2926-SM-5L3FV,0.025519999999999998,5.449,0.0,0.05095,0.0362,0.0,0.0,0.04807,0.0,0.1657,Cerebellum 
GTEX-13PDP-0011-R1a-SM-5PNX5,0.01066,1.249,0.0,0.02128,0.0,0.02194,0.058820000000000004,0.1205,0.01792,0.05856,Hippocampus 
GTEX-13PDP-0011-R2b-SM-5O9DH,0.0,0.7312,0.0,0.01933,0.027469999999999998,0.07972,0.1069,0.2736,0.024419999999999997,0.029019999999999997,Substantia nigra 
GTEX-13PDP-0011-R6b-SM-5O9D5,0.01042,0.4068,0.0,0.0208,0.0,0.1072,0.2874,0.1177,0.1138,0.052020000000000004,Nucleus accumbens (basal ganglia) 
GTEX-13PDP-0011-R8b-SM-5O9CS,0.0,1.2770000000000001,0.0,0.02084,0.0,0.1074,0.1344,0.1572,0.01754,0.04691,Hypothalamus 
GTEX-13PL6-0011-R5b-SM-5O9BI,0.01806,1.07,0.0,0.054079999999999996,0.038419999999999996,0.09292,0.1329,0.2211,0.01518,0.04509,Caudate (basal ganglia) 
GTEX-13PL6-0011-R6a-SM-5O9C5,0.0,0.3103,0.0,0.05491,0.013000000000000001,0.1321,0.1686,0.1554,0.03853,0.03663,Nucleus accumbens (basal ganglia) 
GTEX-13PL6-0011-R9b-SM-5O9CH,0.022580000000000003,0.6027,0.0,0.02254,0.0,0.1394,0.27,0.2977,0.1234,0.02255,Spinal cord (cervical c-1) 
GTEX-13PL6-3126-SM-5LUAR,0.0,3.155,0.0,0.0,0.0,0.09877000000000001,0.08827,0.1356,0.02017,0.05992000000000001,Cortex 
GTEX-13PLJ-0011-R11b-SM-5O9BS,0.0,4.711,0.0,0.023459999999999998,0.016659999999999998,0.2176,0.2377,0.1328,0.04938,0.07628,Cerebellar Hemisphere 
GTEX-13PLJ-0011-R3a-SM-5O9DT,0.0,0.7206,0.0,0.09693,0.041319999999999996,0.07994,0.1786,0.2195,0.04897,0.02425,Anterior cingulate cortex (BA24) 
GTEX-13PLJ-0011-R5a-SM-5O9BG,0.009389,1.357,0.0,0.01874,0.013319999999999999,0.09662000000000001,0.1209,0.1945,0.04735,0.01407,Caudate (basal ganglia) 
GTEX-13PLJ-0011-R9b-SM-5O9DV,0.020569999999999998,4.285,0.0,0.0,0.0,0.042339999999999996,0.07567,0.07748,0.06916,0.03082,Spinal cord (cervical c-1) 
GTEX-13PVQ-0011-R11a-SM-5O9DU,0.0,6.018,0.0,0.0,0.02055,0.02982,0.0533,0.1092,0.0609,0.007237,Cerebellar Hemisphere 
GTEX-13PVQ-0011-R3b-SM-5O9D6,0.01083,1.8330000000000002,0.0,0.02163,0.0,0.1338,0.1395,0.204,0.02731,0.00541,Anterior cingulate cortex (BA24) 
GTEX-13PVQ-0011-R4a-SM-5O9CT,0.011340000000000001,0.9749,0.0,0.0,0.01609,0.3036,0.1043,0.2778,0.028610000000000003,0.0,Amygdala 
GTEX-13PVQ-0011-R5b-SM-5O9DI,0.0,1.224,0.0,0.09883,0.0,0.1223,0.09105,0.2051,0.04161,0.004944,Caudate (basal ganglia) 
GTEX-13PVQ-0011-R7a-SM-5L3G3,0.0,2.1430000000000002,0.0,0.0,0.0,0.034230000000000003,0.09176000000000001,0.1566,0.013980000000000001,0.0,Putamen (basal ganglia) 
GTEX-13PVQ-0011-R9b-SM-5LU3B,0.0,2.767,0.0,0.0,0.0,0.0,0.0,0.03336,0.0,0.01769,Spinal cord (cervical c-1) 
GTEX-13PVQ-2926-SM-5L3HJ,0.0,9.225,0.0,0.0,0.0,0.0,0.0,0.1145,0.0,0.0,Cerebellum 
GTEX-13PVQ-3026-SM-5SI93,0.0,2.35,0.0,0.0,0.0,0.09212000000000001,0.02744,0.1686,0.0,0.007451,Cortex 
GTEX-13QIC-0011-R10a-SM-5O9C7,0.01494,3.053,0.0,0.05965,0.0,0.03075,0.1374,0.1969,0.06277999999999999,0.00746,Frontal Cortex (BA9) 
GTEX-13QIC-0011-R11b-SM-5O9BU,0.0,4.713,0.0,0.02648,0.01881,0.05459,0.07318,0.1748,0.02229,0.06623,Cerebellar Hemisphere 
GTEX-13QIC-0011-R1a-SM-5O9CJ,0.0,3.162,0.0,0.0,0.02443,0.03545,0.06336,0.4217,0.0,0.04301,Hippocampus 
GTEX-13QIC-0011-R3a-SM-5P9HT,0.014530000000000001,1.5319999999999998,0.0,0.028999999999999998,0.02061,0.0,0.026719999999999997,0.5199,0.024419999999999997,0.014509999999999999,Anterior cingulate cortex (BA24) 
GTEX-13QIC-0011-R4a-SM-5PNX8,0.0,2.1790000000000003,0.0,0.0,0.0,0.05791,0.07762000000000001,0.6359,0.0,0.007025,Amygdala 
GTEX-13QIC-0011-R8b-SM-5O9CV,0.0,1.38,0.0,0.0,0.0,0.1283,0.022930000000000002,0.1879,0.08385,0.018680000000000002,Hypothalamus 
GTEX-13QIC-2926-SM-5J2NF,0.03695,2.887,0.0,0.0,0.02621,0.07606,0.2039,0.696,0.04659,0.009226999999999999,Cortex 
GTEX-13QIC-3026-SM-5LU58,0.0,7.1979999999999995,0.0,0.0,0.049010000000000005,0.0,0.0,0.06508,0.02905,0.03452,Cerebellum 
GTEX-13QJC-0011-R10a-SM-5SI63,0.01896,2.444,0.0,0.037860000000000005,0.0,0.0,0.03488,0.1429,0.03188,0.05682,Frontal Cortex (BA9) 
GTEX-13QJC-0011-R1b-SM-5S2UU,0.01629,2.418,0.0,0.0,0.0,0.06707,0.05994,0.0,0.0,0.0,Hippocampus 
GTEX-13QJC-0011-R2b-SM-5PNUN,0.0,2.5469999999999997,0.0,0.03792,0.0,0.0,0.0,0.07155,0.0,0.04743,Substantia nigra 
GTEX-13QJC-0011-R6a-SM-5S2VI,0.01523,1.785,0.0,0.0,0.0,0.0,0.02802,0.08606,0.0128,0.05325,Nucleus accumbens (basal ganglia) 
GTEX-13QJC-0011-R7b-SM-5PNUM,0.0,1.381,0.0,0.029019999999999997,0.0,0.08974,0.0802,0.02737,0.02443,0.058070000000000004,Putamen (basal ganglia) 
GTEX-13QJC-0011-R8b-SM-5S2U6,0.0,1.665,0.0,0.08417999999999999,0.0,0.02893,0.0517,0.05294,0.0,0.0,Hypothalamus 
GTEX-13QJC-0011-R9b-SM-5PNX3,0.04072,2.845,0.0,0.0,0.0,0.0,0.04994,0.05113,0.0,0.04068,Spinal cord (cervical c-1) 
GTEX-13RTJ-0011-R10b-SM-5O9CW,0.01669,3.282,0.0,0.06666,0.0,0.0,0.0,0.06287999999999999,0.1403,0.008337,Frontal Cortex (BA9) 
GTEX-13RTJ-0011-R11a-SM-5O9CK,0.02115,6.47,0.0,0.0,0.0,0.0,0.0,0.1195,0.1066,0.0528,Cerebellar Hemisphere 
GTEX-13RTJ-0011-R1a-SM-5O9D9,0.01825,5.726,0.0,0.1093,0.0,0.03756,0.033569999999999996,0.1031,0.1227,0.09115,Hippocampus 
GTEX-13RTJ-0011-R2a-SM-5PNW9,0.0,1.794,0.0,0.0,0.0,0.041710000000000004,0.1864,0.0,0.01703,0.0,Substantia nigra 
GTEX-13RTJ-0011-R3a-SM-5PNX7,0.0,2.401,0.0,0.0,0.0,0.036489999999999995,0.03261,0.1002,0.08941,0.04427,Anterior cingulate cortex (BA24) 
GTEX-13RTJ-0011-R4b-SM-5PNX1,0.0,1.9569999999999999,0.0,0.02521,0.01791,0.02599,0.04646,0.09514,0.1486,0.06938,Amygdala 
GTEX-13RTJ-0011-R5a-SM-5P9HR,0.03936,2.545,0.0,0.07859,0.018609999999999998,0.027010000000000003,0.07241,0.02471,0.09926,0.01966,Caudate (basal ganglia) 
GTEX-13RTJ-0011-R6a-SM-5SI74,0.0,2.8139999999999996,0.0,0.0,0.0,0.0,0.09938999999999999,0.0,0.1135,0.1079,Nucleus accumbens (basal ganglia) 
GTEX-13RTJ-0011-R7b-SM-5P9JS,0.0,3.365,0.0,0.0,0.0,0.0,0.07096000000000001,0.07266,0.2108,0.0578,Putamen (basal ganglia) 
GTEX-13RTJ-0011-R8b-SM-5O9DL,0.0,2.294,0.0,0.0,0.0,0.06974,0.09348,0.1914,0.3133,0.07614,Hypothalamus 
GTEX-13RTJ-0011-R9a-SM-5Q5AY,0.0,5.431,0.0,0.0,0.0,0.06504,0.058120000000000005,0.05951,0.05312000000000001,0.0,Spinal cord (cervical c-1) 
GTEX-13RTJ-3126-SM-5S2Q4,0.1129,7.987,0.9569,0.1503,0.0,0.0,0.06922,0.07088,0.0949,0.1504,Cerebellum 
GTEX-13RTL-0011-R1a-SM-5PNZ8,0.02101,0.9299,0.0,0.0,0.0,0.04324,0.0966,0.09891,0.01766,0.0,Hippocampus 
GTEX-13RTL-0011-R3a-SM-5P9JP,0.02112,0.7561,0.0,0.02108,0.014980000000000002,0.1739,0.09711,0.1193,0.008876,0.026369999999999998,Anterior cingulate cortex (BA24) 
GTEX-13S7M-0011-R10b-SM-5PNZB,0.01611,2.055,0.0,0.0,0.02284,0.03315,0.08887,0.182,0.04061,0.01609,Frontal Cortex (BA9) 
GTEX-13S7M-0011-R11b-SM-5P9HU,0.0,6.605,0.0,0.0,0.0,0.0,0.1222,0.04172,0.0,0.05532,Cerebellar Hemisphere 
GTEX-13S7M-0011-R1b-SM-5PNZE,0.01256,2.011,0.0,0.0,0.0,0.1034,0.0231,0.07097,0.0,0.03137,Hippocampus 
GTEX-13S7M-0011-R3a-SM-5PNX2,0.011170000000000001,1.629,0.0,0.0223,0.0,0.045989999999999996,0.0411,0.04208,0.03756,0.03348,Anterior cingulate cortex (BA24) 
GTEX-13S7M-0011-R5b-SM-5P9HS,0.0,1.81,0.0,0.047439999999999996,0.01685,0.02445,0.0,0.04475,0.019969999999999998,0.0712,Caudate (basal ganglia) 
GTEX-13S7M-0011-R6b-SM-5O9D8,0.010440000000000001,1.006,0.0,0.04169,0.0,0.1504,0.1344,0.1573,0.01755,0.01043,Nucleus accumbens (basal ganglia) 
GTEX-13S7M-0011-R7a-SM-5O9DK,0.0109,2.186,0.0,0.0653,0.04639,0.04488,0.02005,0.1232,0.1283,0.02178,Putamen (basal ganglia) 
GTEX-13S7M-0011-R9a-SM-5O9DW,0.027389999999999998,2.193,0.0,0.027339999999999996,0.01942,0.0,0.07557,0.2064,0.01151,0.02052,Spinal cord (cervical c-1) 
GTEX-13S7M-3026-SM-5S2QQ,0.04383,6.277,0.0,0.08751,0.0,0.09022000000000001,0.0,0.0,0.07368,0.04378,Cerebellum 
GTEX-13S7M-3126-SM-5RQJQ,0.0,4.271,0.0,0.0,0.02737,0.07944,0.03549,0.1454,0.0,0.0,Cortex 
GTEX-13SLW-0011-R10a-SM-5S2UI,0.0,0.4496,0.0,0.038310000000000004,0.02721,0.0,0.07057999999999999,0.0,0.09676,0.01916,Frontal Cortex (BA9) 
GTEX-13SLW-0011-R11a-SM-5SI8Q,0.0,2.5340000000000003,0.0,0.06072,0.04314,0.1252,0.1119,0.0,0.0,0.09114,Cerebellar Hemisphere 
GTEX-13SLW-0011-R1a-SM-5S2W7,0.01739,0.7247,0.0,0.06945,0.0,0.0716,0.16,0.09827999999999999,0.0731,0.03475,Hippocampus 
GTEX-13SLW-0011-R2b-SM-5O9C6,0.0,0.4247,0.0,0.02246,0.01596,0.1389,0.1862,0.2331,0.04728,0.05056,Substantia nigra 
GTEX-13SLW-0011-R3b-SM-5SI6Y,0.0,0.5938,0.0,0.0,0.0,0.06705,0.029960000000000004,0.06135,0.05476,0.008134,Anterior cingulate cortex (BA24) 
GTEX-13SLW-0011-R4b-SM-5S2W2,0.01039,0.3653,0.0,0.02075,0.014740000000000001,0.04278,0.1147,0.01957,0.03494,0.015569999999999999,Amygdala 
GTEX-13SLW-0011-R5b-SM-5SI6Z,0.0,0.6536,0.0,0.0,0.0,0.06667000000000001,0.029789999999999997,0.0305,0.05445,0.03235,Caudate (basal ganglia) 
GTEX-13SLW-0011-R6a-SM-5O9BH,0.017169999999999998,0.7040000000000001,0.0,0.08567999999999999,0.02435,0.1767,0.1579,0.3556,0.1804,0.01286,Nucleus accumbens (basal ganglia) 
GTEX-13SLW-0011-R8b-SM-5SI64,0.0,1.033,0.0,0.0,0.0,0.04664,0.0,0.0,0.057139999999999996,0.04527,Hypothalamus 
GTEX-13SLW-0011-R9a-SM-5O9BT,0.013340000000000001,1.4240000000000002,0.3392,0.0,0.01892,0.1373,0.04908,0.2513,0.08971,0.02665,Spinal cord (cervical c-1) 
GTEX-13SLX-0011-R10a-SM-5P9HV,0.04322,4.276,0.0,0.02876,0.0,0.05931,0.0,0.054270000000000006,0.02422,0.01439,Frontal Cortex (BA9) 
GTEX-13SLX-0011-R11b-SM-5O9C8,0.057,10.74,0.0,0.0,0.0,0.0,0.03495,0.07157000000000001,0.06387999999999999,0.03796,Cerebellar Hemisphere 
GTEX-13SLX-0011-R2b-SM-5S2VP,0.0,3.5839999999999996,0.0,0.0774,0.0,0.1596,0.107,0.07301,0.0,0.01936,Substantia nigra 
GTEX-13SLX-0011-R4a-SM-5O9BJ,0.0,1.851,0.0,0.04025,0.0143,0.02075,0.1669,0.4177,0.04237,0.0151,Amygdala 
GTEX-13SLX-0011-R5a-SM-5O9BV,0.0,2.658,0.0,0.09264,0.0,0.04775,0.08535,0.1311,0.039,0.0057929999999999995,Caudate (basal ganglia) 
GTEX-13SLX-0011-R6a-SM-5PNX4,0.0,3.116,0.0,0.03063,0.021759999999999998,0.031580000000000004,0.02822,0.05778,0.06447,0.015319999999999999,Nucleus accumbens (basal ganglia) 
GTEX-13SLX-0011-R8b-SM-5PNWZ,0.0,3.136,0.0,0.02545,0.0,0.02623,0.07032999999999999,0.048010000000000004,0.0,0.01273,Hypothalamus 
GTEX-13SLX-0011-R9b-SM-5SI6X,0.0,4.163,0.0,0.0,0.0,0.0,0.07948,0.0,0.07264,0.0,Spinal cord (cervical c-1) 
GTEX-13SLX-3126-SM-5S2Q5,0.0,5.459,0.0,0.052000000000000005,0.03694,0.0,0.04791,0.09811,0.06567,0.0,Cortex 
GTEX-13SLX-3226-SM-5YYA6,0.05043,11.39,0.0,0.0,0.0,0.0,0.046380000000000005,0.0,0.02119,0.02518,Cerebellum 
GTEX-13VXU-0011-R11b-SM-5O9DJ,0.02284,4.937,0.0,0.045610000000000005,0.0,0.0,0.04202,0.043019999999999996,0.0384,0.05704,Cerebellar Hemisphere 
GTEX-13VXU-0011-R3b-SM-5O9CU,0.0,1.446,0.0,0.0288,0.0,0.05939,0.1327,0.08152000000000001,0.01213,0.02162,Anterior cingulate cortex (BA24) 
GTEX-13VXU-0011-R4b-SM-5O9CI,0.0,1.3659999999999999,0.0,0.0,0.0,0.08199,0.07326,0.175,0.0558,0.0,Amygdala 
GTEX-13VXU-0011-R5a-SM-5O9D7,0.0,1.16,0.0,0.05474,0.0,0.05644,0.02522,0.07746,0.01152,0.01369,Caudate (basal ganglia) 
GTEX-13VXU-0011-R6a-SM-5SI71,0.0,0.833,0.0,0.03452,0.0,0.1068,0.0,0.1303,0.02907,0.025910000000000002,Nucleus accumbens (basal ganglia) 
GTEX-13VXU-0011-R7b-SM-5SI72,0.015780000000000002,1.4380000000000002,0.0,0.09452,0.0,0.03248,0.05805,0.05945,0.01326,0.007881,Putamen (basal ganglia) 
GTEX-13VXU-0011-R9b-SM-5SI73,0.0,1.68,0.0,0.1051,0.0,0.0,0.04843,0.1488,0.0,0.0263,Spinal cord (cervical c-1) 
GTEX-13VXU-2926-SM-5LU5C,0.02096,2.347,0.0,0.0,0.0,0.04314,0.0771,0.0,0.0,0.02093,Cortex 
GTEX-13VXU-3026-SM-5LU3K,0.0,4.468,0.0,0.0,0.0,0.06602000000000001,0.0,0.0,0.02696,0.01602,Cerebellum 
GTEX-13X6I-0011-R10a-SM-5PNWI,0.0,1.104,0.0,0.0,0.0,0.0,0.06784,0.521,0.0,0.027630000000000002,Frontal Cortex (BA9) 
GTEX-13X6I-0011-R11a-SM-5P9HN,0.06992999999999999,3.801,0.0,0.0,0.0,0.0,0.06431,0.1317,0.01469,0.07858,Cerebellar Hemisphere 
GTEX-13X6I-0011-R1b-SM-5PNZC,0.0,1.995,0.0,0.0,0.0,0.03032,0.0271,0.4439,0.01238,0.007356999999999999,Hippocampus 
GTEX-13X6I-0011-R2b-SM-5PNWQ,0.04546,1.5090000000000001,0.0,0.0,0.0,0.04679,0.1254,0.685,0.0,0.03406,Substantia nigra 
