sample,DDX11L1_expression,tissue_type
GTEX-139TS-0011-R10a-SM-5K7TU,0.01318,Frontal Cortex (BA9) 
GTEX-139TS-0011-R2b-SM-5J1MX,0,Substantia nigra 
GTEX-139TS-0011-R5b-SM-5J2MZ,0.03052,Caudate (basal ganglia) 
GTEX-139TS-0011-R6a-SM-5J2OB,0,Nucleus accumbens (basal ganglia) 
GTEX-139TS-0011-R7a-SM-5K7X7,0,Putamen (basal ganglia) 
GTEX-139TS-0011-R8a-SM-5J1NP,0.01088,Hypothalamus 
GTEX-139TS-3126-SM-5LZWX,0,Cerebellum 
GTEX-139TT-0011-R11b-SM-5LZV1,0,Cerebellar Hemisphere 
GTEX-139TT-0011-R1a-SM-5LZVD,0,Hippocampus 
GTEX-139TT-0011-R3b-SM-5K7VL,0,Anterior cingulate cortex (BA24) 
GTEX-139TT-0011-R5b-SM-5K7W8,0.01338,Caudate (basal ganglia) 
GTEX-139TT-0011-R6b-SM-5J2ON,0,Nucleus accumbens (basal ganglia) 
GTEX-139TT-0011-R7b-SM-5J2MN,0,Putamen (basal ganglia) 
GTEX-139TT-2626-SM-5LZUB,0,Cerebellum 
GTEX-139TU-0011-R5b-SM-5L3E1,0,Caudate (basal ganglia) 
GTEX-139UW-0011-R11a-SM-5IJGN,0.01703,Cerebellar Hemisphere 
GTEX-139UW-0011-R9b-SM-5LZYT,0,Spinal cord (cervical c-1) 
GTEX-13CF2-0011-R11b-SM-5LZXO,0,Cerebellar Hemisphere 
GTEX-13CF2-0011-R1a-SM-5LZY1,0,Hippocampus 
GTEX-13CF2-0011-R2a-SM-5L3DC,0,Substantia nigra 
GTEX-13CF2-0011-R3b-SM-5LZZ6,0,Anterior cingulate cortex (BA24) 
GTEX-13CF2-0011-R5a-SM-5LZWS,0,Caudate (basal ganglia) 
GTEX-13CF2-0011-R7b-SM-5K7UV,0.01286,Putamen (basal ganglia) 
GTEX-13CF2-0011-R8b-SM-5IJCX,0,Hypothalamus 
GTEX-13CF2-3026-SM-5IFFX,0,Cerebellum 
GTEX-13CIG-0011-R3b-SM-5K7XF,0,Anterior cingulate cortex (BA24) 
GTEX-13CIG-0011-R5b-SM-5L3F2,0,Caudate (basal ganglia) 
GTEX-13CIG-0011-R8b-SM-5LZX5,0.0238,Hypothalamus 
GTEX-13CIG-0011-R9a-SM-5K7VU,0,Spinal cord (cervical c-1) 
GTEX-13CZV-0011-R10b-SM-5LZYD,0,Frontal Cortex (BA9) 
GTEX-13CZV-0011-R11b-SM-5N9FN,0,Cerebellar Hemisphere 
GTEX-13CZV-0011-R3a-SM-5KM27,0.01792,Anterior cingulate cortex (BA24) 
GTEX-13CZV-0011-R4b-SM-5J2NY,0.03963,Amygdala 
GTEX-13CZV-0011-R5a-SM-5K7XA,0,Caudate (basal ganglia) 
GTEX-13CZV-0011-R7b-SM-5LZXH,0.03224,Putamen (basal ganglia) 
GTEX-13CZV-0011-R9a-SM-5LZXT,0,Spinal cord (cervical c-1) 
GTEX-13FHO-0011-R10b-SM-5J2MM,0,Frontal Cortex (BA9) 
GTEX-13FHO-0011-R11b-SM-5LZYQ,0,Cerebellar Hemisphere 
GTEX-13FHO-0011-R1b-SM-5KLZG,0.03373,Hippocampus 
GTEX-13FHO-0011-R3b-SM-5K7YA,0,Anterior cingulate cortex (BA24) 
GTEX-13FHO-0011-R5b-SM-5LZZ3,0,Caudate (basal ganglia) 
GTEX-13FHO-0011-R6b-SM-5LZX1,0.01556,Nucleus accumbens (basal ganglia) 
GTEX-13FHO-0011-R7b-SM-5LZXD,0,Putamen (basal ganglia) 
GTEX-13FHO-2926-SM-5L3ES,0,Cerebellum 
GTEX-13FHO-3026-SM-5J1O9,0,Cortex 
GTEX-13FHP-0011-R11b-SM-5LZXP,0.05939,Cerebellar Hemisphere 
GTEX-13FHP-0011-R1b-SM-5K7XL,0.01587,Hippocampus 
GTEX-13FHP-0011-R5b-SM-5LZY2,0,Caudate (basal ganglia) 
GTEX-13FHP-0011-R6b-SM-5LZY6,0,Nucleus accumbens (basal ganglia) 
GTEX-13FHP-0011-R7b-SM-5LZYI,0,Putamen (basal ganglia) 
GTEX-13FHP-2926-SM-5IJG9,0.04881,Cerebellum 
GTEX-13FHP-3026-SM-5IJBS,0,Cortex 
GTEX-13FLV-0011-R10b-SM-5LZZ2,0,Frontal Cortex (BA9) 
GTEX-13FLV-0011-R11a-SM-5LZZ7,0.1561,Cerebellar Hemisphere 
GTEX-13FLV-0011-R3b-SM-5LZYP,0,Anterior cingulate cortex (BA24) 
GTEX-13FLV-0011-R4a-SM-5LZYU,0.02194,Amygdala 
GTEX-13FLV-0011-R5a-SM-5LZWT,0.01912,Caudate (basal ganglia) 
GTEX-13FLV-0011-R6a-SM-5KLZ4,0.01845,Nucleus accumbens (basal ganglia) 
GTEX-13FLV-0011-R7b-SM-5K7WW,0.04016,Putamen (basal ganglia) 
GTEX-13FLV-0011-R8a-SM-5LZZE,0,Hypothalamus 
GTEX-13FLV-0011-R9b-SM-5L3DA,0.02021,Spinal cord (cervical c-1) 
GTEX-13FLW-0011-R10b-SM-5LZZF,0,Frontal Cortex (BA9) 
GTEX-13FLW-0011-R1b-SM-5LZX2,0,Hippocampus 
GTEX-13FLW-0011-R5a-SM-5LZX6,0,Caudate (basal ganglia) 
GTEX-13FLW-0011-R6b-SM-5L3EN,0,Nucleus accumbens (basal ganglia) 
GTEX-13FLW-0011-R7b-SM-5L3EZ,0.01901,Putamen (basal ganglia) 
GTEX-13FLW-0011-R8b-SM-5J1MZ,0.01338,Hypothalamus 
GTEX-13FLW-1426-SM-5K7YE,0,Cortex 
GTEX-13FTY-0011-R11a-SM-5IJEA,0,Cerebellar Hemisphere 
GTEX-13FTY-0011-R1a-SM-5LZXE,0,Hippocampus 
GTEX-13FTY-0011-R9b-SM-5KM2U,0.01855,Spinal cord (cervical c-1) 
GTEX-13FTZ-0011-R10b-SM-5KLZS,0,Frontal Cortex (BA9) 
GTEX-13FXS-0011-R10a-SM-5J2MA,0.01467,Frontal Cortex (BA9) 
GTEX-13FXS-0011-R11a-SM-5L3DM,0,Cerebellar Hemisphere 
GTEX-13FXS-0011-R1a-SM-5K7U6,0,Hippocampus 
GTEX-13FXS-0011-R2b-SM-5K7XX,0.01415,Substantia nigra 
GTEX-13FXS-0011-R5b-SM-5LZYE,0.02138,Caudate (basal ganglia) 
GTEX-13FXS-0011-R6b-SM-5L3F7,0.01992,Nucleus accumbens (basal ganglia) 
GTEX-13FXS-0011-R7a-SM-5L3FC,0,Putamen (basal ganglia) 
GTEX-13FXS-0011-R8a-SM-5J1MN,0,Hypothalamus 
GTEX-13FXS-0011-R9a-SM-5K7UI,0,Spinal cord (cervical c-1) 
GTEX-13FXS-3026-SM-5LZYO,0.1053,Cerebellum 
GTEX-13FXS-3126-SM-5J2NN,0,Cortex 
GTEX-13G51-0011-R10b-SM-5LZYF,0,Frontal Cortex (BA9) 
GTEX-13G51-0011-R11b-SM-5J2NE,0,Cerebellar Hemisphere 
GTEX-13G51-0011-R1a-SM-5LZYR,0,Hippocampus 
GTEX-13G51-0011-R2b-SM-5LZXS,0,Substantia nigra 
GTEX-13G51-0011-R5a-SM-5L3EB,0,Caudate (basal ganglia) 
GTEX-13G51-0011-R6b-SM-5LZX4,0,Nucleus accumbens (basal ganglia) 
GTEX-13G51-0011-R7b-SM-5LZXG,0,Putamen (basal ganglia) 
GTEX-13G51-0011-R8b-SM-5LZZ4,0.01603,Hypothalamus 
GTEX-13G51-3026-SM-5IJB8,0.04629,Cortex 
GTEX-13G51-3126-SM-5IJG7,0.0475,Cerebellum 
GTEX-13IVO-0011-R10a-SM-5LZY3,0,Frontal Cortex (BA9) 
GTEX-13IVO-0011-R3b-SM-5IJBJ,0,Anterior cingulate cortex (BA24) 
GTEX-13IVO-0011-R6b-SM-5K7X9,0.01085,Nucleus accumbens (basal ganglia) 
GTEX-13IVO-0011-R8a-SM-5L3DY,0,Hypothalamus 
GTEX-13IVO-2926-SM-5L3CZ,0.02114,Cortex 
GTEX-13JUV-0011-R10b-SM-5LZXR,0,Frontal Cortex (BA9) 
GTEX-13JUV-0011-R11a-SM-5LZYH,0.06219,Cerebellar Hemisphere 
GTEX-13JUV-0011-R1a-SM-5LZY4,0,Hippocampus 
GTEX-13JUV-0011-R5a-SM-5LZY5,0,Caudate (basal ganglia) 
GTEX-13JUV-0011-R6b-SM-5LZYG,0,Nucleus accumbens (basal ganglia) 
GTEX-13JUV-0011-R7b-SM-5LZZG,0.0338,Putamen (basal ganglia) 
GTEX-13JUV-0011-R9a-SM-5LZX3,0,Spinal cord (cervical c-1) 
GTEX-13JUV-2926-SM-5LZX7,0,Cortex 
GTEX-13JUV-3026-SM-5K7WX,0,Cerebellum 
GTEX-13JVG-0011-R10b-SM-5KM2P,0,Frontal Cortex (BA9) 
GTEX-13JVG-0011-R11a-SM-5KM53,0,Cerebellar Hemisphere 
GTEX-13JVG-0011-R1a-SM-5KM32,0,Hippocampus 
GTEX-13JVG-0011-R3b-SM-5LZXF,0,Anterior cingulate cortex (BA24) 
GTEX-13JVG-0011-R4a-SM-5MR4C,0.01569,Amygdala 
GTEX-13JVG-0011-R5a-SM-5MR4O,0,Caudate (basal ganglia) 
GTEX-13JVG-0011-R6a-SM-5MR3E,0,Nucleus accumbens (basal ganglia) 
GTEX-13JVG-0011-R7b-SM-5MR3Q,0,Putamen (basal ganglia) 
GTEX-13JVG-0011-R8a-SM-5KM3E,0,Hypothalamus 
GTEX-13JVG-3126-SM-5L3FH,0,Cortex 
GTEX-13JVG-3226-SM-5IJGJ,0,Cerebellum 
GTEX-13N1W-0011-R10b-SM-5MR4H,0,Frontal Cortex (BA9) 
GTEX-13N1W-0011-R1b-SM-5MR4T,0.02319,Hippocampus 
GTEX-13N1W-0011-R3a-SM-5MR5E,0.09287,Anterior cingulate cortex (BA24) 
GTEX-13N1W-0011-R4a-SM-5MR52,0,Amygdala 
GTEX-13N1W-0011-R5b-SM-5MR5Q,0.01874,Caudate (basal ganglia) 
GTEX-13N1W-0011-R6a-SM-5MR43,0,Nucleus accumbens (basal ganglia) 
GTEX-13N1W-0011-R7b-SM-5MR4F,0.06975,Putamen (basal ganglia) 
GTEX-13N1W-0011-R8a-SM-5MR56,0.03563,Hypothalamus 
GTEX-13N1W-0011-R9b-SM-5MR4R,0,Spinal cord (cervical c-1) 
GTEX-13N2G-0011-R10a-SM-5MR34,0,Frontal Cortex (BA9) 
GTEX-13N2G-0011-R11a-SM-5MR3F,0,Cerebellar Hemisphere 
GTEX-13N2G-0011-R1b-SM-5MR3G,0.01732,Hippocampus 
GTEX-13N2G-0011-R2a-SM-5MR4Q,0.01884,Substantia nigra 
GTEX-13N2G-0011-R3b-SM-5MR5G,0,Anterior cingulate cortex (BA24) 
GTEX-13N2G-0011-R4b-SM-5MR54,0.01924,Amygdala 
GTEX-13N2G-0011-R6b-SM-5MR3P,0.01771,Nucleus accumbens (basal ganglia) 
GTEX-13N2G-0011-R7a-SM-5MR42,0,Putamen (basal ganglia) 
GTEX-13N2G-0011-R9b-SM-5MR4E,0,Spinal cord (cervical c-1) 
GTEX-13N2G-3126-SM-5IJGL,0,Cerebellum 
GTEX-13NYB-0011-R10a-SM-5KM43,0,Frontal Cortex (BA9) 
GTEX-13NYB-0011-R11a-SM-5KM3Q,0,Cerebellar Hemisphere 
GTEX-13NYB-0011-R1b-SM-5KM4F,0,Hippocampus 
GTEX-13NYB-0011-R2a-SM-5MR3C,0,Substantia nigra 
GTEX-13NYB-0011-R3b-SM-A9SM4,0,Anterior cingulate cortex (BA24) 
GTEX-13NYB-0011-R4b-SM-9QEGJ,0.01774,Amygdala 
GTEX-13NYB-0011-R5a-SM-5MR45,0,Caudate (basal ganglia) 
GTEX-13NYB-0011-R6b-SM-5MR51,0,Nucleus accumbens (basal ganglia) 
GTEX-13NYB-0011-R7a-SM-5MR5D,0.03215,Putamen (basal ganglia) 
GTEX-13NYB-0011-R8a-SM-5KM4R,0,Hypothalamus 
GTEX-13NYB-0011-R9b-SM-5MR5P,0.03566,Spinal cord (cervical c-1) 
GTEX-13NYB-3026-SM-5IJD7,0,Cortex 
GTEX-13NYB-3226-SM-5J2ND,0.03486,Cerebellum 
GTEX-13NYC-2826-SM-5K7WR,0,Cortex 
GTEX-13NYS-0011-R10a-SM-5MR4S,0.02318,Frontal Cortex (BA9) 
GTEX-13NYS-0011-R11b-SM-5MR4P,0.03147,Cerebellar Hemisphere 
GTEX-13NYS-0011-R1b-SM-5MR55,0,Hippocampus 
GTEX-13NYS-0011-R2b-SM-5MR4G,0,Substantia nigra 
GTEX-13NYS-0011-R3b-SM-5MR41,0,Anterior cingulate cortex (BA24) 
GTEX-13NYS-0011-R4b-SM-5MR3O,0.02469,Amygdala 
GTEX-13NYS-0011-R5a-SM-5MR4D,0,Caudate (basal ganglia) 
GTEX-13NYS-0011-R6b-SM-5MR3R,0,Nucleus accumbens (basal ganglia) 
GTEX-13NYS-0011-R8a-SM-5MR5H,0.01692,Hypothalamus 
GTEX-13NYS-0011-R9b-SM-5MR44,0,Spinal cord (cervical c-1) 
GTEX-13NYS-3126-SM-5KLYV,0,Cortex 
GTEX-13NZ8-0011-R1b-SM-5KM3V,0.06016,Hippocampus 
GTEX-13NZ8-0011-R8b-SM-5KM48,0,Hypothalamus 
GTEX-13NZA-0011-R10b-SM-5KM54,0.02722,Frontal Cortex (BA9) 
GTEX-13NZA-0011-R11b-SM-5KM4W,0,Cerebellar Hemisphere 
GTEX-13NZA-0011-R1b-SM-5LUAF,0,Hippocampus 
GTEX-13NZA-0011-R5b-SM-5KM4K,0.01379,Caudate (basal ganglia) 
GTEX-13NZA-0011-R8b-SM-5KM2Q,0,Hypothalamus 
GTEX-13NZA-0011-R9b-SM-5MR5I,0,Spinal cord (cervical c-1) 
GTEX-13O1R-0011-R9b-SM-5KM33,0.01403,Spinal cord (cervical c-1) 
GTEX-13O3O-0011-R10a-SM-5LUA9,0,Frontal Cortex (BA9) 
GTEX-13O3O-0011-R11b-SM-5KM4G,0.02985,Cerebellar Hemisphere 
GTEX-13O3O-0011-R1b-SM-5KM2K,0,Hippocampus 
GTEX-13O3O-0011-R2b-SM-5P9H1,0.03816,Substantia nigra 
GTEX-13O3O-0011-R3b-SM-5KM3R,0,Anterior cingulate cortex (BA24) 
GTEX-13O3O-0011-R4b-SM-5KM3F,0,Amygdala 
GTEX-13O3O-0011-R5b-SM-5KM44,0.0173,Caudate (basal ganglia) 
GTEX-13O3O-0011-R6b-SM-5P9GY,0.01415,Nucleus accumbens (basal ganglia) 
GTEX-13O3O-0011-R7b-SM-5P9GZ,0.01246,Putamen (basal ganglia) 
GTEX-13O3O-0011-R8b-SM-5LUAL,0,Hypothalamus 
GTEX-13O3O-3026-SM-5KM42,0,Cerebellum 
GTEX-13O3O-3126-SM-5KM3H,0,Cortex 
GTEX-13O3Q-0011-R10b-SM-5KM39,0,Frontal Cortex (BA9) 
GTEX-13O3Q-0011-R11b-SM-5KM2W,0,Cerebellar Hemisphere 
GTEX-13O3Q-0011-R1b-SM-5KM3L,0.008569,Hippocampus 
GTEX-13O3Q-0011-R2b-SM-5KM3K,0,Substantia nigra 
GTEX-13O3Q-0011-R3a-SM-5P9H3,0,Anterior cingulate cortex (BA24) 
GTEX-13O3Q-0011-R4a-SM-5P9H2,0.01508,Amygdala 
GTEX-13O3Q-0011-R5b-SM-5P9H4,0,Caudate (basal ganglia) 
GTEX-13O3Q-0011-R6a-SM-5KM2V,0.02174,Nucleus accumbens (basal ganglia) 
GTEX-13O3Q-0011-R7a-SM-5KM38,0,Putamen (basal ganglia) 
GTEX-13O3Q-0011-R8b-SM-5KM2J,0.01829,Hypothalamus 
GTEX-13O3Q-2926-SM-5KM45,0.02079,Cortex 
GTEX-13O3Q-3026-SM-5IJGD,0,Cerebellum 
GTEX-13OVH-0011-R11b-SM-5KM4X,0,Cerebellar Hemisphere 
GTEX-13OVH-0011-R3a-SM-5KM49,0,Anterior cingulate cortex (BA24) 
GTEX-13OVH-0011-R4a-SM-5KM3W,0.01525,Amygdala 
GTEX-13OVH-0011-R5b-SM-5KM4L,0.01881,Caudate (basal ganglia) 
GTEX-13OVH-0011-R6b-SM-5LUAX,0.02139,Nucleus accumbens (basal ganglia) 
GTEX-13OVH-0011-R8b-SM-5MR35,0,Hypothalamus 
GTEX-13OVH-2926-SM-5IJFH,0,Cerebellum 
GTEX-13OVH-3026-SM-5MR4N,0,Cortex 
GTEX-13OVJ-0011-R10b-SM-5L3HT,0.02618,Frontal Cortex (BA9) 
GTEX-13OVJ-0011-R11a-SM-5P9H8,0.126,Cerebellar Hemisphere 
GTEX-13OVJ-0011-R1b-SM-5L3I6,0.04958,Hippocampus 
GTEX-13OVJ-0011-R2b-SM-5L3GP,0.02165,Substantia nigra 
GTEX-13OVJ-0011-R4b-SM-5P9H5,0,Amygdala 
GTEX-13OVJ-0011-R5a-SM-5P9H7,0,Caudate (basal ganglia) 
GTEX-13OVJ-0011-R6b-SM-5L3GH,0.0453,Nucleus accumbens (basal ganglia) 
GTEX-13OVJ-0011-R7a-SM-5L3G1,0.04208,Putamen (basal ganglia) 
GTEX-13OVJ-0011-R8b-SM-5L3FS,0,Hypothalamus 
GTEX-13OVJ-0011-R9b-SM-5L3GD,0,Spinal cord (cervical c-1) 
GTEX-13OVJ-2726-SM-5IJG6,0,Cerebellum 
GTEX-13OVJ-2826-SM-5L3GW,0,Cortex 
GTEX-13OVL-0011-R10a-SM-5L3GS,0,Frontal Cortex (BA9) 
GTEX-13OVL-0011-R11b-SM-5L3G7,0,Cerebellar Hemisphere 
GTEX-13OVL-0011-R1a-SM-5L3H5,0.02207,Hippocampus 
GTEX-13OVL-0011-R3b-SM-5L3I8,0.04034,Anterior cingulate cortex (BA24) 
GTEX-13OVL-0011-R4b-SM-5L3HV,0,Amygdala 
GTEX-13OVL-0011-R5b-SM-5L3FU,0,Caudate (basal ganglia) 
GTEX-13OVL-0011-R6a-SM-5L3G4,0,Nucleus accumbens (basal ganglia) 
GTEX-13OVL-0011-R7a-SM-5P9GW,0,Putamen (basal ganglia) 
GTEX-13OVL-0011-R8a-SM-5L3HH,0.01703,Hypothalamus 
GTEX-13OVL-0011-R9a-SM-5P9GX,0.01879,Spinal cord (cervical c-1) 
GTEX-13OVL-3026-SM-5IJF1,0.02542,Cerebellum 
GTEX-13OW5-0011-R11b-SM-5L3GG,0,Cerebellar Hemisphere 
GTEX-13OW5-0011-R1b-SM-5L3GE,0,Hippocampus 
GTEX-13OW5-0011-R3a-SM-5L3I5,0,Anterior cingulate cortex (BA24) 
GTEX-13OW5-0011-R4b-SM-5L3HS,0.01844,Amygdala 
GTEX-13OW5-0011-R5b-SM-5L3FR,0,Caudate (basal ganglia) 
GTEX-13OW5-0011-R6b-SM-5O9BW,0.01009,Nucleus accumbens (basal ganglia) 
GTEX-13OW5-0011-R7a-SM-5O9C9,0.01044,Putamen (basal ganglia) 
GTEX-13OW5-0011-R8a-SM-5L3GQ,0,Hypothalamus 
GTEX-13OW5-0011-R9b-SM-5O9CL,0,Spinal cord (cervical c-1) 
GTEX-13OW5-3126-SM-5MR3Y,0.02297,Cerebellum 
GTEX-13OW6-0011-R10a-SM-5L3HE,0,Frontal Cortex (BA9) 
GTEX-13OW6-0011-R11a-SM-5L3H2,0.08416,Cerebellar Hemisphere 
GTEX-13OW6-0011-R1a-SM-5L3HQ,0.02366,Hippocampus 
GTEX-13OW6-0011-R2a-SM-5L3HG,0.02458,Substantia nigra 
GTEX-13OW6-0011-R4a-SM-5O9DX,0.02148,Amygdala 
GTEX-13OW6-0011-R5a-SM-5O9BK,0,Caudate (basal ganglia) 
GTEX-13OW6-0011-R6b-SM-5L3GR,0,Nucleus accumbens (basal ganglia) 
GTEX-13OW6-0011-R7b-SM-5L3H4,0,Putamen (basal ganglia) 
GTEX-13OW6-0011-R8a-SM-5L3GF,0,Hypothalamus 
GTEX-13OW6-2926-SM-5KM29,0.0335,Cerebellum 
GTEX-13OW6-3026-SM-5J2MI,0,Cortex 
GTEX-13OW7-0011-R10a-SM-5L3H3,0.02007,Frontal Cortex (BA9) 
GTEX-13OW7-0011-R11a-SM-5O9DY,0,Cerebellar Hemisphere 
GTEX-13OW7-0011-R1b-SM-5L3HF,0,Hippocampus 
GTEX-13OW7-0011-R3a-SM-5O9DA,0,Anterior cingulate cortex (BA24) 
GTEX-13OW7-0011-R4b-SM-5O9CX,0,Amygdala 
GTEX-13OW7-0011-R5b-SM-5O9DM,0,Caudate (basal ganglia) 
GTEX-13OW7-0011-R8b-SM-5L3HR,0,Hypothalamus 
GTEX-13OW7-2926-SM-5MR3Z,0,Cerebellum 
GTEX-13OW7-3026-SM-5L3GY,0,Cortex 
GTEX-13OW8-0011-R10a-SM-5L3H6,0.02221,Frontal Cortex (BA9) 
GTEX-13OW8-0011-R11a-SM-5L3GT,0,Cerebellar Hemisphere 
GTEX-13OW8-0011-R1a-SM-5L3HI,0,Hippocampus 
GTEX-13OW8-0011-R2a-SM-5L3G2,0.03252,Substantia nigra 
GTEX-13OW8-0011-R3a-SM-5L3I4,0.01852,Anterior cingulate cortex (BA24) 
GTEX-13OW8-0011-R4a-SM-9WG6V,0,Amygdala 
GTEX-13OW8-0011-R5b-SM-5L3FQ,0.01854,Caudate (basal ganglia) 
GTEX-13OW8-0011-R6b-SM-5L3I3,0.0161,Nucleus accumbens (basal ganglia) 
GTEX-13OW8-0011-R7a-SM-5L3FP,0,Putamen (basal ganglia) 
GTEX-13OW8-0011-R8a-SM-5L3G5,0.01467,Hypothalamus 
GTEX-13OW8-2826-SM-5L3GC,0,Cortex 
GTEX-13OW8-2926-SM-5L3FV,0.02552,Cerebellum 
GTEX-13PDP-0011-R1a-SM-5PNX5,0.01066,Hippocampus 
GTEX-13PDP-0011-R2b-SM-5O9DH,0,Substantia nigra 
GTEX-13PDP-0011-R6b-SM-5O9D5,0.01042,Nucleus accumbens (basal ganglia) 
GTEX-13PDP-0011-R8b-SM-5O9CS,0,Hypothalamus 
GTEX-13PL6-0011-R5b-SM-5O9BI,0.01806,Caudate (basal ganglia) 
GTEX-13PL6-0011-R6a-SM-5O9C5,0,Nucleus accumbens (basal ganglia) 
GTEX-13PL6-0011-R9b-SM-5O9CH,0.02258,Spinal cord (cervical c-1) 
GTEX-13PL6-3126-SM-5LUAR,0,Cortex 
GTEX-13PLJ-0011-R11b-SM-5O9BS,0,Cerebellar Hemisphere 
GTEX-13PLJ-0011-R3a-SM-5O9DT,0,Anterior cingulate cortex (BA24) 
GTEX-13PLJ-0011-R5a-SM-5O9BG,0.009389,Caudate (basal ganglia) 
GTEX-13PLJ-0011-R9b-SM-5O9DV,0.02057,Spinal cord (cervical c-1) 
GTEX-13PVQ-0011-R11a-SM-5O9DU,0,Cerebellar Hemisphere 
GTEX-13PVQ-0011-R3b-SM-5O9D6,0.01083,Anterior cingulate cortex (BA24) 
GTEX-13PVQ-0011-R4a-SM-5O9CT,0.01134,Amygdala 
GTEX-13PVQ-0011-R5b-SM-5O9DI,0,Caudate (basal ganglia) 
GTEX-13PVQ-0011-R7a-SM-5L3G3,0,Putamen (basal ganglia) 
GTEX-13PVQ-0011-R9b-SM-5LU3B,0,Spinal cord (cervical c-1) 
GTEX-13PVQ-2926-SM-5L3HJ,0,Cerebellum 
GTEX-13PVQ-3026-SM-5SI93,0,Cortex 
GTEX-13QIC-0011-R10a-SM-5O9C7,0.01494,Frontal Cortex (BA9) 
GTEX-13QIC-0011-R11b-SM-5O9BU,0,Cerebellar Hemisphere 
GTEX-13QIC-0011-R1a-SM-5O9CJ,0,Hippocampus 
GTEX-13QIC-0011-R3a-SM-5P9HT,0.01453,Anterior cingulate cortex (BA24) 
GTEX-13QIC-0011-R4a-SM-5PNX8,0,Amygdala 
GTEX-13QIC-0011-R8b-SM-5O9CV,0,Hypothalamus 
GTEX-13QIC-2926-SM-5J2NF,0.03695,Cortex 
GTEX-13QIC-3026-SM-5LU58,0,Cerebellum 
GTEX-13QJC-0011-R10a-SM-5SI63,0.01896,Frontal Cortex (BA9) 
GTEX-13QJC-0011-R1b-SM-5S2UU,0.01629,Hippocampus 
GTEX-13QJC-0011-R2b-SM-5PNUN,0,Substantia nigra 
GTEX-13QJC-0011-R6a-SM-5S2VI,0.01523,Nucleus accumbens (basal ganglia) 
GTEX-13QJC-0011-R7b-SM-5PNUM,0,Putamen (basal ganglia) 
GTEX-13QJC-0011-R8b-SM-5S2U6,0,Hypothalamus 
GTEX-13QJC-0011-R9b-SM-5PNX3,0.04072,Spinal cord (cervical c-1) 
GTEX-13RTJ-0011-R10b-SM-5O9CW,0.01669,Frontal Cortex (BA9) 
GTEX-13RTJ-0011-R11a-SM-5O9CK,0.02115,Cerebellar Hemisphere 
GTEX-13RTJ-0011-R1a-SM-5O9D9,0.01825,Hippocampus 
GTEX-13RTJ-0011-R2a-SM-5PNW9,0,Substantia nigra 
GTEX-13RTJ-0011-R3a-SM-5PNX7,0,Anterior cingulate cortex (BA24) 
GTEX-13RTJ-0011-R4b-SM-5PNX1,0,Amygdala 
GTEX-13RTJ-0011-R5a-SM-5P9HR,0.03936,Caudate (basal ganglia) 
GTEX-13RTJ-0011-R6a-SM-5SI74,0,Nucleus accumbens (basal ganglia) 
GTEX-13RTJ-0011-R7b-SM-5P9JS,0,Putamen (basal ganglia) 
GTEX-13RTJ-0011-R8b-SM-5O9DL,0,Hypothalamus 
GTEX-13RTJ-0011-R9a-SM-5Q5AY,0,Spinal cord (cervical c-1) 
GTEX-13RTJ-3126-SM-5S2Q4,0.1129,Cerebellum 
GTEX-13RTL-0011-R1a-SM-5PNZ8,0.02101,Hippocampus 
GTEX-13RTL-0011-R3a-SM-5P9JP,0.02112,Anterior cingulate cortex (BA24) 
GTEX-13S7M-0011-R10b-SM-5PNZB,0.01611,Frontal Cortex (BA9) 
GTEX-13S7M-0011-R11b-SM-5P9HU,0,Cerebellar Hemisphere 
GTEX-13S7M-0011-R1b-SM-5PNZE,0.01256,Hippocampus 
GTEX-13S7M-0011-R3a-SM-5PNX2,0.01117,Anterior cingulate cortex (BA24) 
GTEX-13S7M-0011-R5b-SM-5P9HS,0,Caudate (basal ganglia) 
GTEX-13S7M-0011-R6b-SM-5O9D8,0.01044,Nucleus accumbens (basal ganglia) 
GTEX-13S7M-0011-R7a-SM-5O9DK,0.0109,Putamen (basal ganglia) 
GTEX-13S7M-0011-R9a-SM-5O9DW,0.02739,Spinal cord (cervical c-1) 
GTEX-13S7M-3026-SM-5S2QQ,0.04383,Cerebellum 
GTEX-13S7M-3126-SM-5RQJQ,0,Cortex 
GTEX-13SLW-0011-R10a-SM-5S2UI,0,Frontal Cortex (BA9) 
GTEX-13SLW-0011-R11a-SM-5SI8Q,0,Cerebellar Hemisphere 
GTEX-13SLW-0011-R1a-SM-5S2W7,0.01739,Hippocampus 
GTEX-13SLW-0011-R2b-SM-5O9C6,0,Substantia nigra 
GTEX-13SLW-0011-R3b-SM-5SI6Y,0,Anterior cingulate cortex (BA24) 
GTEX-13SLW-0011-R4b-SM-5S2W2,0.01039,Amygdala 
GTEX-13SLW-0011-R5b-SM-5SI6Z,0,Caudate (basal ganglia) 
GTEX-13SLW-0011-R6a-SM-5O9BH,0.01717,Nucleus accumbens (basal ganglia) 
GTEX-13SLW-0011-R8b-SM-5SI64,0,Hypothalamus 
GTEX-13SLW-0011-R9a-SM-5O9BT,0.01334,Spinal cord (cervical c-1) 
GTEX-13SLX-0011-R10a-SM-5P9HV,0.04322,Frontal Cortex (BA9) 
GTEX-13SLX-0011-R11b-SM-5O9C8,0.057,Cerebellar Hemisphere 
GTEX-13SLX-0011-R2b-SM-5S2VP,0,Substantia nigra 
